start_profile,strategy,weather_seed,status,loss_reason,months_played,final_budget,final_energy_autarky,final_citizen_satisfaction,final_supply_security,final_score,demand_growth_cap
current,balanced,72,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,73,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,74,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,75,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,76,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,77,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,78,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,79,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,80,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,81,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,82,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,83,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,84,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,85,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,86,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,87,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,88,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,89,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,90,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,91,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,92,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,93,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,94,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,95,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,96,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,97,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,98,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,99,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,100,lost,bankrupt,6,0,41,74,12,12,2.0
current,storage_first,1,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,2,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,3,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,4,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,5,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,6,lost,bankrupt,5,0,10,72,15,9,2.0
current,storage_first,7,lost,bankrupt,5,0,10,72,15,9,2.0
